,Unnamed: 0,address,Total Score,UST_DEPOSITED
273,32511,terra12e5mdqcvnrdg8sv7v7v5r97hvxz7x7l4t4zkyn,22,162.0
274,32602,terra12e98lr4kl86g48y394fxt9ygacnhvtmpwtj4qe,25,232.0
275,32806,terra12ejpecledfx0tewz03unme7t2d8qwe86l5vg8x,27,134.0
276,32859,terra12elqsyrpmf7x0xmsfsc0r38m98k6l8uhkf3msp,27,223.0
277,32926,terra12ep8y44huxdxmkwx34zmq8y3vqfe6ep0quk7kx,26,148.0
278,33472,terra12fegtvz3z6fg80gvp35nt7hsvzru4jkmdfldfq,6,80.0
279,33569,terra12fju7zwgu2ak9a63j6z7028wt522atu4p4pyu8,22,80.0
280,33577,terra12fk6s7lyk9uhh0gzkkhl8r6c9sn0hrfzy5g920,28,1324.0
281,33742,terra12fs583js4hy40vy4u2mddy9qhqcn66rx0mspmf,19,301.0
282,33862,terra12fx2exq9sw0qazzlt4n9gpvmg6u7smmhcjgu9q,25,2177.0
283,34010,terra12g55sen7vvfwdtrlzpgrdtartmp643s6wzxetu,24,32.0
284,34042,terra12g6lt9nxmqk2y00jeazrm0l484tts06p3p0pjq,24,149.0
285,34105,terra12g9fywagnwqnaufqekzalvdwwy5te5ydrldlgv,10,10.0
286,34190,terra12ge6tcne06586se7ex439np5e7nmex7wvncf9y,22,60.0
287,34374,terra12gn59sj39032gtppkm66x3v53ahvu3qyu4xv2k,4,198.43
288,34482,terra12gstuntpp4pv6vz2xs46cm5ql9yul32cta2v3v,29,54.0
289,34544,terra12gvsntgtnuqh4ce3kkktww6zup2m4umqrq3fpg,22,189.0
290,34763,terra12h6ddakss4hk7kweh5ldnpdkmdm2gyftnm7qv0,28,20.0
291,34873,terra12hcla693ht2ar6uaf5yxftyfussr3836j02nvx,20,47.0
292,34887,terra12hd94zchtj7fc3c8mewhrey2qcamgw4kkk4r5n,2,247.0
293,34931,terra12her38t0vcekkxlycnfy4qnpsze5claazz3zl7,12,1048.0
294,34979,terra12hgny3c7puqgl5h0sjngjazuly8lrj20uvf6ul,20,56.0
295,35041,terra12hjzrwvntaxndt2fwl3j0qyw7vqjr96d0j5qpr,30,100.0
296,35051,terra12hk779frwsm0h6pactvjs083pf95u4kpflgn27,3,8.0
297,35115,terra12hn7ecn8zhd7wq2dp3t3a2jq5mfe6srqx2skyx,19,107.0
298,35198,terra12hraymww3ygp42y726y2e48cw7skzt4r00ja5t,23,268.0
299,35327,terra12hx7068et56uv5y8pvpvmcka5vg4rudna7s6h6,25,1015.65
